"GDP per capita, current prices
 (U.S. dollars per capita)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,233.433,233.755,254.259,294.396,320.674,381.502,447.746,511.374,631.49,714.7,784.611,754.402,746.922,705.597,617.126,635.789,582.323,586.204,611.268,no data,no data,no data,no data,no data,no data
Albania,728.359,817.734,824.542,815.529,788.332,788.801,855.724,832.245,805.046,860.784,675.736,408.022,259.75,452.623,736.028,903.989,1009.967,717.381,818.32,1032.264,1127.64,1283.573,1425.125,1846.119,2373.58,2673.773,2972.745,3595.053,4370.562,4114.09,4097.833,4439.89,4248.909,4415.598,4584.917,3953.609,4124.405,4525.889,5254.455,5305.074,5152.563,5837.18,6284.027,6622.85,7027.58,7445.972,7880.292
Algeria,2268.607,2305.505,2254.328,2316.679,2432.717,2753.697,2698.915,2705.111,2143.742,2127.866,2473.512,1819.984,1873.422,1894.946,1542.974,1499.143,1643.265,1658.732,1633.09,1630.071,1794.695,1768.577,1806.86,2128.386,2636.479,3141.027,3508.959,3986.564,4943.502,3890.524,4480.719,5447.6,5575.653,5477.055,5466.329,4153.322,3918.941,4079.653,4118.735,3939.536,3337.317,3638.328,3672.463,3696.736,3673.804,3632.977,3596.424
Andorra,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,49030.229,51957.313,45713.97,45630.195,46299.282,38877.485,39595.317,40017.741,42229.903,40688.491,36630.55,40417.265,42713.076,44321.894,45773.988,46863.749,47842.558
Angola,745.119,679.02,661.52,671.804,693.779,758.525,690.446,769.563,812.794,920.268,986.639,928.506,695.059,489.755,346.239,419.529,525.403,599.077,493.041,452.677,652.11,619.697,841.42,951.969,1222.038,1862.424,2561.859,3099.087,4081.688,3146.802,3641.444,4716.253,5245.023,5436.516,5625.736,4354.921,3676.826,4300.097,3465.062,2805.261,1881.195,2200.675,2276.746,2338.754,2422.663,2526.502,2602.675
Antigua and Barbuda,1920.249,2177.087,2448.585,2752.968,3200.985,3763.974,4617.61,5455.264,6547.259,7273.247,7623.434,7927.588,8084.427,8474.038,9097.243,8675.237,9266.473,9678.32,10074.75,10349.52,10931.312,10411.422,10478.949,10902.081,11583.241,12745.807,14270.113,16009.204,16529.945,14661.515,13564.679,13295.364,13811.081,13392.222,13951.99,14696.894,15556.009,15655.225,16860.955,17451.554,13967.327,14117.844,15196.337,16137.467,16950.964,17633.718,18228.012
Argentina,8361.209,6671.428,3257.853,3962.735,4374.783,3248.745,3857.027,3909.984,4524.498,2867.307,4857.796,6429.454,7653.711,7796.24,8378.735,8295.123,8645.455,9196.516,9283.175,8709.072,8638.543,8085.356,2997.621,3761.088,4314.098,5163.55,5976.082,7315.726,9146.79,8337.811,10412.974,12787.806,13889.792,14488.829,13208.831,14895.316,12772.868,14618.327,11786.433,10054.023,8571.937,9929.154,10448.387,10189.261,10337.879,10723.003,11129.621
Armenia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,31.321,247.884,196.98,399.576,503.774,521.869,608.415,597.241,620.638,692.287,779.122,923.387,1180.399,1628.063,2128.151,3079.031,3913.436,2911.763,3121.778,3417.172,3575.529,3732.035,3889.004,3529.026,3524,3868.906,4195.963,4596.861,4267.487,4594.912,5083.216,5453.164,5861.556,6304.909,6776.742
Aruba,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,16548.717,16620.854,17750.489,18825.012,19215.013,20681.023,20740.133,21307.248,21949.486,23700.632,24172.085,24845.658,26736.576,28172.189,25134.771,24084.879,25656.881,25006.763,25641.782,25883.616,27126.62,27036.925,27897.42,28727.937,29505.344,22483.486,25700.865,27955.237,30008.078,31056.4,31841.689,32627.183
Australia,10987.053,12505.14,12212.046,11570.453,12551.717,10947.212,11224.322,12974.458,16215.803,18168.815,18835.271,18630.745,18082.412,17425.027,19703.535,20868.823,23106.51,22989.516,20347.559,21727.093,20850.527,19431.829,21648.337,27213.272,32761.405,36139.685,37876.237,45102.976,49149.233,45684.731,56459.924,67208.486,68445.119,65174.719,61648.081,51484.642,51915.239,55914.998,56460.904,54476.913,52905.397,62618.587,64895.02,67842.292,70479.929,73061.696,75670.284
Austria,10731.955,9280.728,9267.664,9417.235,8882.629,9090.795,12886.095,16093.014,17632.815,17547.811,21827.44,22621.881,25068.398,24152.659,25725.557,30350.529,29820.596,26737.482,27399.085,27210.471,24636.471,24558.922,26508.32,32298.607,36883.892,38450.609,40674.883,46922.558,51914.013,48111.662,46955.173,51452.276,48616.903,50747.384,51814.424,44267.809,45278.829,47317.911,51246.153,50246.607,48592.707,53793.367,57878.724,60403.543,63314.957,67294.419,70818.949
Azerbaijan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,159.971,174.875,297.162,316.227,411.14,508.043,543.344,576.005,656.386,674.783,760.812,879.863,1039.818,1571.292,2458.421,3818.274,5578.556,4963.769,5880.806,7242.806,7545.873,7926.094,7939.169,5300.136,3897.707,4217.653,4759.796,4826.352,4232.319,5167.377,5307.832,5364.755,5455.404,5573.413,5714.515
"Bahamas, The",12289.314,12493.753,13746.78,14958.645,15627.015,16797.762,17850.61,19326.111,19683.611,21814.311,20456.262,19767.718,19417.219,18979.009,19660.92,20271.252,20974.536,21951.759,23300.801,25780.476,26669.435,27060.507,28477.061,28043.46,28239.074,30269.034,30908.205,31894.394,31248.603,29296.493,29303.257,28906.973,30433.05,29462.756,30937.315,32648.639,32565.036,33191.208,34094.369,34575.624,25734.158,27437.197,30584.624,32368.222,34008.957,35092.861,36069.75
Bahrain,10189.612,11061.394,11221.699,11117.659,11163.436,10182.368,7695.805,8049.364,9602.789,9668.043,10179.632,10252.365,10536.823,11290.27,11777.073,12143.091,12298.65,12422.116,11565.971,12210.221,14214.58,13894.343,13501.551,14486.061,15963.978,17966.224,19267.567,20908.338,23236.055,19465.292,20827.719,24080.43,25434.451,25965.311,25398.315,22659.374,22641.276,23631.585,25049.64,25925.275,23589.957,26293.947,27052.974,27678.477,28412.123,29209.052,30038.179
Bangladesh,283.284,273.372,249.371,235.351,257.242,269.294,269.762,287.665,301.593,320.657,337.603,341.254,340.031,335.752,349.359,381.778,399.703,407.248,416.99,424.225,425.728,418.961,420.891,445.932,479.362,499.591,509.61,558.087,634.979,702.264,781.154,861.541,882.763,982.072,1118.861,1248.888,1401.509,1563.812,1693.77,1854.668,1961.614,2138.794,2326.633,2534.453,2754.412,2994.457,3253.496
Barbados,4036.509,4427.056,4611.693,4882.788,5308.313,5539.558,6062.784,6653.718,7052.007,7776.714,7772.174,7777.866,7464.866,7886.782,8194.382,8414.115,8938.565,9412.367,10573.109,11039.097,11337.027,11284.369,11442.562,11788.654,12612.206,13939.669,15334.01,16925.611,17254.227,16036.404,16203.257,16599.012,16371.952,16556.104,16572.311,16589.45,16947.632,17423.251,17758.083,18448.826,15346.283,16105.128,17769.729,18947.063,19836.288,20615.869,21422.724
Belarus,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1252.792,1114.104,1533.721,1034.931,1429.059,1396.112,1514.669,1210.965,1079.61,1283.273,1524.49,1873.667,2450.9,3221.463,3968.753,4887.275,6581.175,5345.325,6025.686,6478.889,6948.345,7995.733,8337.145,5958.838,5037.854,5778.564,6351.76,6831.516,6397.51,7032.477,7592.187,7911.69,8335.219,8723.331,9087.225
Belgium,12529.348,10366.108,9128.584,8626.16,8244.846,8568.653,11873.806,14740.456,16008.638,16098.158,20119.935,20563.729,22823.029,21723.624,23624.467,28458.469,27535.287,24878.749,25399.222,25309.057,23136.511,23067.163,25044.331,30707.665,35497.552,36945.499,38841.785,44496.791,48493.137,44892.228,44448.17,47564.381,44824.163,46848.612,47897.037,41147.261,42076.398,44274.073,47718.412,46555.088,44688.462,50412.713,53452.463,55938.772,58206.318,60422.102,62570.407
Belize,1148.322,1193.866,1171.019,1200.888,1304.507,1258.896,1332.848,1518.912,1759.542,1977.229,2180.352,2292.375,2604.217,2731.016,2752.909,2864.39,2889.116,2844.845,2888.857,3014.677,3331.421,3404.522,3550.915,3643.323,3802.225,3887.733,4159.15,4255.797,4404.495,4124.217,4270.939,4398.881,4468.701,4516.113,4645.694,4674.597,4734.009,4791.519,4813.214,4853.321,4076.77,4457.886,4721.644,4853.85,4950.927,5049.946,5150.945
Benin,633.149,413.923,397.573,340.867,352.496,370.342,462.435,535.192,544.339,491.148,580.415,573.657,615.86,579.434,389.725,506.864,533.491,497.342,519.56,552.369,512.9,518.071,574.524,711.107,798.382,823.24,856.1,966.318,1125.303,1087.576,1037.381,1130.074,1145.865,1251.228,1291.743,1076.906,1086.987,1136.193,1240.838,1218.278,1290.5,1446.829,1551.418,1654.787,1766.169,1883.33,2001.481
Bhutan,301.912,317.384,325.479,343.169,346.705,349.039,382.259,447.284,496.565,483.64,514.626,446.274,442.838,470.84,484.426,569.737,594.213,654.919,701.797,716.174,758.308,767.831,813.421,950.504,1059.205,1215.288,1293.194,1563.082,1936.113,1797.421,2097.66,2511.599,2592.373,2609.65,2546.905,2693.631,2803.636,3234.746,3280.722,3371.018,3358.961,3296.106,3605.553,3910.245,4298.463,4626.949,4965.991
Bolivia,695.535,615.66,668.55,619.896,631.152,668.921,640.94,683.625,712.146,715.525,723.431,776.711,803.547,793.646,805.183,886.368,956.965,1006.102,1057.72,1010.58,994.617,949.383,904.851,908.203,968.545,1037.176,1226.845,1383.894,1729.369,1769.441,1972.684,2368.523,2635.933,2938.421,3114.966,3069.319,3110.874,3388.523,3588.089,3591.403,3167.612,3266.69,3419.329,3616.429,3827.392,4047.437,4267.986
Bosnia and Herzegovina,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,952.331,1225.456,1415.096,1540.514,1480.624,1540.266,1785.289,2254.449,2699.054,2903.602,3306.785,4073.011,4984.537,4711.119,4633.861,5089.853,4773.164,5125.604,5319.317,4727.261,4994.065,5392.368,6073.936,6120.156,6034.999,6647.83,7078.897,7568.243,8092.595,8651.215,9221.158
Botswana,1235.79,1071.127,1089.756,1161.229,1112.146,998.497,1305.783,1973.51,2471.826,2663.031,2834.686,2755.113,2766.058,2709.967,2839.752,3075.187,3097.817,3117.961,2928.593,3270.461,3401.875,3172.044,3083.47,4187.363,4892.266,5361.365,5339.066,5619.894,5545.421,5065.325,6202.466,7357.591,7609.174,6966.084,7499.156,6413.787,6988.161,7286.768,7513.627,7219.46,6420.231,7349.884,7770.514,8257.269,8718.331,9144.075,9823.105
Brazil,1229.883,1382.548,1446.228,1134.932,1105.852,1719.515,1955.069,2087.445,2289.424,3087.928,3106.116,2677.837,2523.736,2787.164,3495.239,4851.99,5204.574,5321.137,5123.549,3501.438,3772.05,3177.94,2856.026,3089.141,3660.02,4819.872,5921.179,7390.653,8878.359,8649.578,11333.023,13295.899,12424.949,12358.342,12175.683,8846.478,8757.305,9978.087,9194.148,8935.756,6822.56,7741.153,8464.333,9102.212,9800.045,10371.896,10922.3
Brunei Darussalam,no data,no data,no data,no data,no data,19916.361,11908.978,13239.407,12202.354,13414.336,15373.583,15723.283,17330.999,16611.619,16089.632,18233.963,19221.085,19060.145,14479.973,16060.902,20445.931,18621.101,18785.868,20755.774,24217.728,29420.373,34690.298,36302.79,42470.561,31341.495,35437.219,47092.296,47772.207,44860.428,41947.16,31355.736,27318.052,28236.773,30668.369,29314.112,26060.996,33979.373,35148.83,33907.081,33825.984,33948.821,34239.634
