 ,ISO3 Alpha-code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Afghanistan,AFG,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,64,63,66,68,67,64,62,64,66,66,72,72,70,66,66
Albania,ALB,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,88,96,97,94,96,96,96,96,97,99,98,98,98,99,98,99,99,99,99,98,99,98,99,99,99,98,98,98
Algeria,DZA,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,83,80,90,91,94,95,95,95,95,95,95,91,91,91,91,91,91,91
American Samoa,ASM,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,56.15873016,55.98941799,56.38095238,57.71428571,59.15873016,60.78306878,63.02645503,64.14814815,64.41269841,66.67195767,67.98412698,69.76719577,72.06878307,74.78835979,78.13756614,80.51851852,82.3968254,83.65608466,84.77248677,85.79365079,86.07936508,86.64021164,87.17460317,87.32804233,87.1957672,87.11640212,87.37566138,87.16931217,87.38095238,87.67724868,85.14814815,83.85714286,83.85714286
Andorra,AND,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,80,75,84,84,84,81,77,79,84,91,97,96,96,99,96,94,95,94,94,98,98,98,98,98,98
Angola,AGO,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,45,47,49,50,52,54,55,55,55,52,59,53,47,41,41
Antigua and Barbuda,ATG,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,99,99,97,99,99,97,98,98,98,99,98,99,99,99,92,95,95,99,95,92,92
Argentina,ARG,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,73,81,88,84,85,90,94,94,91,91,94,94,94,92,86,86,83,74,76,76
Armenia,ARM,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,69,91,93,91,91,78,85,89,93,94,95,95,95,93,94,94,94,92,92,92,93,93
Aruba,ABW,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,56.15873016,55.98941799,56.38095238,57.71428571,59.15873016,60.78306878,63.02645503,64.14814815,64.41269841,66.67195767,67.98412698,69.76719577,72.06878307,74.78835979,78.13756614,80.51851852,82.3968254,83.65608466,84.77248677,85.79365079,86.07936508,86.64021164,87.17460317,87.32804233,87.1957672,87.11640212,87.37566138,87.16931217,87.38095238,87.67724868,85.14814815,83.85714286,83.85714286
Australia,AUS,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,95,95,95,95,95,94,94,94,92,92,91,91,91,93,94,95,95,95,95,95,95
Austria,AUT,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,44,81,83,83,86,83,85,83,83,86,89,92,95,98,93,87,90,85,85,85,85,85
Azerbaijan,AZE,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,51,50,49,52,62,68,74,80,84,88,93,94,96,97,95,95,94,79,89,89
"Bahamas, The",BHS,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,89,88,93,93,96,93,90,95,98,95,96,97,96,95,94,94,90,89,83,75,75
Bahrain,BHR,57,57,57,57,57,57,57,57,57,57,57,57,57,90,93,95,96,95,95,97,97,99,98,98,98,98,98,97,97,98,99,99,99,99,98,98,99,98,99,99,98,98,98
Bangladesh,BGD,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,11,45,86,95,96,97,94,96,94,96,97,98,98,98,98,98,98,98,98
Barbados,BRB,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,66,91,93,92,84,93,85,93,86,91,87,91,94,97,97,90,95,90,85,82,82
Belarus,BLR,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,93,99,56,99,99,98,91,98,98,96,98,97,98,97,99,96,98,98,97,97,98,98
Belgium,BEL,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,31,46,60,60,60,64,64,77,94,94,98,97,97,97,98,98,98,98,97,97,97,97,97,97,97
Belize,BLZ,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,96,97,96,97,96,98,96,94,97,96,95,98,95,95,94,95,88,96,98,79,83,83
Benin,BEN,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,73,75,70,74,82,75,79,76,75,80,77,74,74,76,76,76,76,72,76,76
Bermuda,BMU,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,56.15873016,55.98941799,56.38095238,57.71428571,59.15873016,60.78306878,63.02645503,64.14814815,64.41269841,66.67195767,67.98412698,69.76719577,72.06878307,74.78835979,78.13756614,80.51851852,82.3968254,83.65608466,84.77248677,85.79365079,86.07936508,86.64021164,87.17460317,87.32804233,87.1957672,87.11640212,87.37566138,87.16931217,87.38095238,87.67724868,85.14814815,83.85714286,83.85714286
Bhutan,BTN,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,84,81,90,98,89,83,95,89,95,95,95,96,93,91,95,97,97,99,99,98,98,97,97,96,98,98
Bolivia,BOL,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,80,84,85,83,84,88,93,91,95,93,87,85,89,87,84,83,75,68,70,70
Bosnia and Herzegovina,BIH,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,93,90,94,88,90,89,88,92,91,89,82,78,77,80,80,80,80,80
Botswana,BWA,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,62,60,77,85,86,87,88,90,91,92,93,93,94,94,95,95,95,95,95,95,95,95,95,95,95,95,95
Brazil,BRA,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,10,15,6,13,84,94,91,92,97,96,98,99,99,96,99,96,98,96,96,96,96,89,93,93,72,77,68,68
