 ,ISO3 Alpha-code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Afghanistan,AFG,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.266666667,0.233333333,0.2,0.21,0.22,0.23,0.24,0.25,0.26,0.27,0.28,0.29,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4
Albania,ALB,4.3,4.2,4.2,4.1,4.1,4.1,4.1,4,3.9,4.1,4,4,4,3.8,3,3.2,3.1,3,3,3,3.3,3.3,3.1,3.1,3,3.1,3.1,3.1,3.05,3,3,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9
Algeria,DZA,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.55,2.6,2.6,2.5,2.4,2.3,2.2,2.1,2.1,2.1,2.1,2.1,2.033333333,1.966666667,1.9,1.833333333,1.766666667,1.7,1.718181818,1.736363636,1.754545455,1.772727273,1.790909091,1.809090909,1.827272727,1.845454545,1.863636364,1.881818182,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9
American Samoa,ASM,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.164285714,1.328571429,1.492857143,1.657142857,1.821428571,1.985714286,2.15,2.314285714,2.478571429,2.642857143,2.807142857,2.971428571,3.135714286,3.3,3.3
Andorra,AND,4.5,4.41875,4.3375,4.25625,4.175,4.09375,4.0125,3.93125,3.85,3.76875,3.6875,3.60625,3.525,3.44375,3.3625,3.28125,3.2,3,3.1,3.2,3.2,2.6,3.1,3.3,3,2.7,2.6,2.6,2.55,2.5,3,2.6,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9
Angola,AGO,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.266666667,1.233333333,1.2,1.166666667,1.133333333,1.1,1.066666667,1.033333333,1,0.966666667,0.933333333,0.9,0.866666667,0.833333333,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Antigua and Barbuda,ATG,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.433333333,6.266666667,6.1,5.366666667,4.633333333,3.9,3.64,3.38,3.12,2.86,2.6,2.3,2.5,2.4,2.4,2.4,2,1.7,2.2,2.2,2.1,2.85,3.6,3.6,3.6,3,2.9,2.9,2.9,2.9,2.9,2.9
Argentina,ARG,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.166666667,3.733333333,3.3,3.5,3.7,3.9,4.1,4.08,4.06,4.04,4.02,4,4.1,4.2,4.3,4.4,4.5,4.4,4.6,4.8,4.8,5,5,5,5,5,5,5,5
Armenia,ARM,8.4,8.6,8.7,8.5,8.7,8.7,9,9,9.2,9,9.1,8.5,8.4,8.2,7.8,7.6,7.1,6.8,6.7,6.2,6.4,5,4.4,4.4,4.4,4.5,4.4,4.1,3.8,3.7,3.7,3.7,4.1,4.1,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2
Aruba,ABW,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.658888889,4.517777778,4.376666667,4.235555556,4.094444444,3.953333333,3.812222222,3.671111111,3.53,3.492,3.454,3.416,3.378,3.34,3.302,3.264,3.226,3.188,3.15,3.155454545,3.160909091,3.166363636,3.171818182,3.177272727,3.182727273,3.188181818,3.193636364,3.199090909,3.204545455,3.21,3.21
